,Nivel de Agua,fecha
55,74.0,07/08/2023--08:08:48
56,66.0,07/08/2023--08:08:53
57,72.0,07/08/2023--08:08:58
58,75.0,07/08/2023--08:09:03
59,54.0,07/08/2023--08:09:08
60,82.0,07/08/2023--08:09:13
61,81.0,07/08/2023--08:09:18
62,52.0,07/08/2023--08:09:23
63,89.0,07/08/2023--08:09:28
64,84.0,07/08/2023--08:09:33
65,72.0,07/08/2023--08:09:38
66,73.0,07/08/2023--08:09:43
67,68.0,07/08/2023--08:09:48
68,50.0,07/08/2023--08:09:53
69,52.0,07/08/2023--08:09:58
70,56.0,07/08/2023--08:10:03
71,78.0,07/08/2023--08:10:08
72,53.0,07/08/2023--08:10:13
73,100.0,07/08/2023--08:10:18
74,58.0,07/08/2023--08:10:24
75,87.0,07/08/2023--08:10:34
76,55.0,07/08/2023--08:10:44
77,53.0,07/08/2023--08:10:54
78,57.0,07/08/2023--08:11:04
79,71.0,07/08/2023--08:11:14
80,81.0,07/08/2023--08:11:24
81,69.0,07/08/2023--08:41:27
82,82.0,07/08/2023--08:41:37
83,100.0,07/08/2023--08:41:47
84,80.0,07/08/2023--08:41:57
85,92.0,07/08/2023--08:42:07
86,84.0,07/08/2023--08:42:17
87,88.0,07/08/2023--08:42:27
88,55.0,07/08/2023--08:42:37
89,92.0,07/08/2023--08:42:47
90,81.0,07/08/2023--08:42:57
91,90.0,07/08/2023--08:43:07
92,71.0,07/08/2023--08:43:18
93,100.0,07/08/2023--08:43:28
94,62.0,07/08/2023--08:43:38
95,83.0,07/08/2023--08:43:48
96,71.0,07/08/2023--08:44:08
97,77.0,07/08/2023--08:44:18
98,86.0,07/08/2023--08:44:28
99,94.0,07/08/2023--08:44:38
100,85.0,07/08/2023--08:44:48
101,77.0,07/08/2023--08:44:58
102,83.0,07/08/2023--08:45:08
103,52.0,07/08/2023--08:45:18
104,96.0,07/08/2023--08:45:28
105,50.0,07/08/2023--08:45:38
106,74.0,07/08/2023--08:45:48
107,51.0,07/08/2023--08:45:58
108,77.0,07/08/2023--08:46:08
109,57.0,07/08/2023--08:46:18
110,65.0,07/08/2023--08:46:28
111,60.0,07/08/2023--08:46:38
112,90.0,07/08/2023--08:46:48
113,65.0,07/08/2023--08:46:58
114,57.0,07/08/2023--08:47:08
115,100.0,07/08/2023--08:47:18
116,75.0,07/08/2023--08:47:28
117,86.0,07/08/2023--08:47:38
118,72.0,07/08/2023--08:47:58
119,84.0,07/08/2023--08:48:08
120,96.0,07/08/2023--08:48:18
121,66.0,07/08/2023--08:48:28
122,85.0,07/08/2023--08:48:38
123,89.0,07/08/2023--08:48:48
124,52.0,07/08/2023--08:48:58
125,93.0,07/08/2023--08:49:08
126,54.0,07/08/2023--08:49:28
127,51.0,07/08/2023--08:49:38
128,65.0,07/08/2023--08:49:48
129,65.0,07/08/2023--08:49:58
130,100.0,07/08/2023--08:50:08
131,85.0,07/08/2023--08:50:28
132,74.0,07/08/2023--08:50:38
133,60.0,07/08/2023--08:50:58
134,72.0,07/08/2023--08:51:08
135,85.0,07/08/2023--08:51:28
136,95.0,07/08/2023--08:51:38
137,92.0,07/08/2023--08:51:48
138,97.0,07/08/2023--08:51:58
139,57.0,07/08/2023--08:52:08
140,93.0,07/08/2023--08:52:18
141,73.0,07/08/2023--08:52:29
142,53.0,07/08/2023--08:52:39
143,84.0,07/08/2023--08:52:48
144,74.0,07/08/2023--08:52:59
145,98.0,07/08/2023--08:53:09
146,76.0,07/08/2023--08:53:19
147,75.0,07/08/2023--08:53:29
148,91.0,07/08/2023--08:53:39
149,92.0,07/08/2023--08:53:49
150,66.0,07/08/2023--08:53:59
151,50.0,07/08/2023--08:54:09
152,88.0,07/08/2023--08:54:19
153,61.0,07/08/2023--08:54:29
154,91.0,07/08/2023--08:54:39
155,62.0,07/08/2023--08:54:49
156,70.0,07/08/2023--08:54:59
157,52.0,07/08/2023--08:55:09
158,56.0,07/08/2023--08:55:19
159,72.0,07/08/2023--08:55:29
160,78.0,07/08/2023--08:55:39
161,82.0,07/08/2023--08:55:49
162,85.0,07/08/2023--08:55:59
163,61.0,07/08/2023--08:56:09
164,93.0,07/08/2023--08:56:19
165,70.0,07/08/2023--08:56:29
166,93.0,07/08/2023--08:56:39
167,99.0,07/08/2023--08:56:49
168,65.0,07/08/2023--08:56:59
169,65.0,07/08/2023--08:57:09
170,53.0,07/08/2023--08:57:19
171,80.0,07/08/2023--08:57:29
172,54.0,07/08/2023--08:57:39
173,52.0,07/08/2023--08:57:49
174,54.0,07/08/2023--08:57:59
175,54.0,07/08/2023--08:58:09
176,95.0,07/08/2023--08:58:19
177,65.0,07/08/2023--08:58:29
178,93.0,07/08/2023--08:58:39
179,59.0,07/08/2023--08:58:49
180,99.0,07/08/2023--08:58:59
181,85.0,07/08/2023--08:59:09
182,86.0,07/08/2023--08:59:19
183,96.0,07/08/2023--08:59:29
184,88.0,07/08/2023--08:59:39
185,92.0,07/08/2023--08:59:49
186,88.0,07/08/2023--08:59:59
187,62.0,07/08/2023--09:00:09
188,70.0,07/08/2023--09:00:19
189,55.0,07/08/2023--09:00:29
190,84.0,07/08/2023--09:00:39
191,58.0,07/08/2023--09:00:49
192,83.0,07/08/2023--09:00:59
193,73.0,07/08/2023--09:01:09
194,90.0,07/08/2023--09:01:19
195,76.0,07/08/2023--09:01:29
196,62.0,07/08/2023--09:01:39
197,85.0,07/08/2023--09:01:49
198,68.0,07/08/2023--09:02:00
199,54.0,07/08/2023--09:02:10
200,50.0,07/08/2023--09:02:20
201,72.0,07/08/2023--09:02:30
202,64.0,07/08/2023--09:02:40
203,62.0,07/08/2023--09:03:00
204,67.0,07/08/2023--09:03:10
205,75.0,07/08/2023--09:03:20
206,77.0,07/08/2023--09:03:30
207,91.0,07/08/2023--09:03:40
208,82.0,07/08/2023--09:03:50
209,88.0,07/08/2023--09:04:00
210,81.0,07/08/2023--09:04:10
211,80.0,07/08/2023--09:04:20
212,76.0,07/08/2023--09:04:30
213,51.0,07/10/2023--14:36:33
214,51.0,07/10/2023--14:36:34
215,79.0,07/10/2023--14:36:34
216,79.0,07/10/2023--14:36:34
217,56.0,07/10/2023--14:36:36
218,56.0,07/10/2023--14:36:36
219,94.0,07/10/2023--14:36:38
220,93.0,07/10/2023--14:36:38
221,62.0,07/10/2023--14:36:38
222,85.0,07/10/2023--14:36:42
223,80.0,07/10/2023--14:36:42
224,96.0,07/10/2023--14:36:42
225,66.0,07/10/2023--14:36:42
226,82.0,07/10/2023--14:36:44
227,84.0,07/10/2023--14:36:44
228,60.0,07/10/2023--14:36:46
229,74.0,07/10/2023--14:36:49
230,62.0,07/10/2023--14:36:49
231,76.0,07/10/2023--14:36:49
232,83.0,07/10/2023--14:36:51
233,92.0,07/10/2023--14:36:52
234,59.0,07/10/2023--14:36:52
235,92.0,07/10/2023--14:36:53
236,61.0,07/10/2023--14:36:55
237,84.0,07/10/2023--14:36:56
238,54.0,07/10/2023--14:36:56
239,83.0,07/10/2023--14:36:58
240,90.0,07/10/2023--14:36:58
241,59.0,07/10/2023--14:37:00
242,93.0,07/10/2023--14:37:01
243,82.0,07/10/2023--14:37:02
244,69.0,07/10/2023--14:37:02
245,76.0,07/10/2023--14:37:03
246,76.0,07/10/2023--14:37:06
247,56.0,07/10/2023--14:37:06
248,85.0,07/10/2023--14:37:06
249,100.0,07/10/2023--14:37:07
250,57.0,07/10/2023--14:37:08
251,82.0,07/10/2023--14:37:11
252,89.0,07/10/2023--14:37:11
253,68.0,07/10/2023--14:37:11
254,74.0,07/10/2023--14:37:12
255,66.0,07/10/2023--14:37:13
256,95.0,07/10/2023--14:37:14
257,72.0,07/10/2023--14:37:16
258,96.0,07/10/2023--14:37:16
259,70.0,07/10/2023--14:37:19
260,79.0,07/10/2023--14:37:19
261,67.0,07/10/2023--14:37:19
262,66.0,07/10/2023--14:37:20
263,66.0,07/10/2023--14:37:35
264,82.0,07/10/2023--14:37:35
265,57.0,07/10/2023--14:37:35
266,84.0,07/10/2023--14:37:35
267,67.0,07/10/2023--14:37:35
268,92.0,07/10/2023--14:37:35
269,80.0,07/10/2023--14:56:15
270,74.0,07/10/2023--14:56:16
271,88.0,07/10/2023--14:56:17
272,91.0,07/10/2023--14:56:18
273,88.0,07/10/2023--14:56:19
274,60.0,07/10/2023--14:56:20
275,97.0,07/10/2023--14:56:21
276,53.0,07/10/2023--14:56:22
277,90.0,07/10/2023--14:56:23
278,81.0,07/10/2023--14:56:24
279,77.0,07/10/2023--14:56:25
280,52.0,07/10/2023--14:56:26
281,53.0,07/10/2023--14:56:27
282,85.0,07/10/2023--14:56:28
283,95.0,07/10/2023--14:56:29
284,61.0,07/10/2023--14:56:30
285,63.0,07/10/2023--14:56:31
286,91.0,07/10/2023--14:56:32
287,73.0,07/10/2023--14:56:33
288,59.0,07/10/2023--14:56:34
289,99.0,07/10/2023--14:56:35
290,90.0,07/10/2023--14:56:36
291,69.0,07/10/2023--14:56:37
292,67.0,07/10/2023--14:56:38
293,84.0,07/10/2023--14:56:39
294,55.0,07/10/2023--14:56:40
295,84.0,07/10/2023--14:56:42
296,84.0,07/10/2023--14:56:43
297,62.0,07/10/2023--14:56:44
298,52.0,07/10/2023--14:56:45
299,97.0,07/10/2023--14:56:46
300,77.0,07/10/2023--14:56:47
301,62.0,07/10/2023--14:56:48
302,86.0,07/10/2023--14:56:49
303,54.0,07/10/2023--14:56:50
304,94.0,07/10/2023--14:56:51
305,88.0,07/10/2023--14:56:52
306,82.0,07/10/2023--14:56:53
307,75.0,07/10/2023--14:56:54
308,88.0,07/10/2023--14:56:55
309,100.0,07/10/2023--14:56:56
310,57.0,07/10/2023--14:56:57
311,80.0,07/10/2023--14:56:58
312,70.0,07/10/2023--14:56:59
313,84.0,07/10/2023--14:57:00
314,61.0,07/10/2023--14:57:01
315,77.0,07/10/2023--14:57:02
316,62.0,07/10/2023--14:57:03
317,65.0,07/10/2023--14:57:04
318,93.0,07/10/2023--14:57:10
319,99.0,07/10/2023--14:57:20
320,58.0,07/10/2023--14:57:30
321,66.0,07/10/2023--14:57:40
322,92.0,07/10/2023--14:57:50
323,87.0,07/10/2023--14:58:00
324,85.0,07/10/2023--14:58:10
325,70.0,07/10/2023--14:58:20
326,98.0,07/10/2023--14:58:30
327,57.0,07/10/2023--14:58:40
328,67.0,07/10/2023--14:58:50
329,96.0,07/10/2023--14:59:00
330,96.0,07/10/2023--14:59:10
331,99.0,07/10/2023--14:59:20
332,87.0,07/10/2023--14:59:30
333,51.0,07/10/2023--14:59:41
334,92.0,07/10/2023--14:59:50
335,54.0,07/10/2023--15:00:00
336,91.0,07/10/2023--15:00:10
337,98.0,07/10/2023--15:00:21
338,99.0,07/10/2023--15:00:30
339,52.0,07/10/2023--15:00:41
340,51.0,07/10/2023--15:00:51
341,50.0,07/10/2023--15:01:00
342,72.0,07/10/2023--15:01:11
343,84.0,07/10/2023--15:01:21
344,88.0,07/10/2023--15:01:31
345,79.0,07/10/2023--15:01:41
346,71.0,07/10/2023--15:01:51
347,66.0,07/10/2023--15:02:01
348,50.0,07/10/2023--15:02:11
349,91.0,07/10/2023--15:02:21
350,50.0,07/10/2023--15:02:31
351,50.0,07/10/2023--15:02:41
352,87.0,07/10/2023--15:02:51
353,83.0,07/10/2023--15:03:01
354,92.0,07/10/2023--15:03:11
355,52.0,07/10/2023--15:03:21
356,75.0,07/10/2023--15:03:31
357,60.0,07/10/2023--15:03:41
358,62.0,07/10/2023--15:03:51
359,59.0,07/10/2023--15:04:01
360,64.0,07/10/2023--15:04:11
361,83.0,07/10/2023--15:04:21
362,52.0,07/10/2023--15:04:31
363,94.0,07/10/2023--15:04:41
364,65.0,07/10/2023--15:04:51
365,73.0,07/10/2023--15:05:01
366,96.0,07/10/2023--15:05:11
367,50.0,07/10/2023--15:05:21
368,65.0,07/10/2023--15:05:31
369,58.0,07/10/2023--15:05:41
370,85.0,07/10/2023--15:05:51
371,94.0,07/10/2023--15:06:01
372,61.0,07/10/2023--15:06:11
373,81.0,07/10/2023--15:06:21
374,56.0,07/10/2023--15:06:31
375,82.0,07/10/2023--15:06:41
376,72.0,07/10/2023--15:06:51
377,82.0,07/10/2023--15:07:01
378,73.0,07/10/2023--15:07:11
379,90.0,07/10/2023--15:07:21
380,95.0,07/10/2023--15:07:31
381,86.0,07/10/2023--15:07:41
382,72.0,07/10/2023--15:07:51
383,88.0,07/10/2023--15:08:01
384,88.0,07/10/2023--15:08:11
385,99.0,07/10/2023--15:08:21
386,53.0,07/10/2023--15:08:31
387,82.0,07/10/2023--15:08:41
388,85.0,07/10/2023--15:08:51
389,57.0,07/10/2023--15:09:01
390,50.0,07/10/2023--15:09:12
391,72.0,07/10/2023--15:09:21
392,73.0,07/10/2023--15:09:31
393,56.0,07/10/2023--15:09:42
394,58.0,07/10/2023--15:09:52
395,97.0,07/10/2023--15:10:02
396,92.0,07/10/2023--15:10:12
397,54.0,07/10/2023--15:10:22
398,66.0,07/10/2023--15:10:32
399,76.0,07/10/2023--15:10:42
400,65.0,07/10/2023--15:10:52
401,87.0,07/10/2023--15:11:02
402,69.0,07/10/2023--15:11:12
403,79.0,07/10/2023--15:11:22
404,61.0,07/10/2023--15:11:32
405,85.0,07/10/2023--15:11:42
406,90.0,07/10/2023--15:16:08
407,64.0,07/10/2023--15:16:18
408,60.0,07/10/2023--15:16:28
409,83.0,07/10/2023--15:16:38
410,65.0,07/10/2023--15:16:48
411,87.0,07/10/2023--15:16:58
412,55.0,07/10/2023--15:17:08
413,51.0,07/10/2023--15:17:18
414,67.0,07/10/2023--15:17:28
415,96.0,07/10/2023--15:17:38
416,58.0,07/10/2023--15:17:48
417,88.0,07/10/2023--15:17:58
418,90.0,07/10/2023--15:18:08
419,90.0,07/10/2023--15:18:18
420,76.0,07/10/2023--15:18:28
421,81.0,07/10/2023--15:18:38
422,95.0,07/10/2023--15:18:48
423,73.0,07/10/2023--15:18:58
424,54.0,07/10/2023--15:19:08
425,54.0,07/10/2023--15:19:18
426,65.0,07/10/2023--15:19:28
427,57.0,07/10/2023--15:19:38
428,88.0,07/10/2023--15:19:48
429,69.0,07/10/2023--15:19:58
430,60.0,07/10/2023--15:20:08
431,82.0,07/10/2023--15:20:18
432,96.0,07/10/2023--15:20:28
433,89.0,07/10/2023--15:20:38
434,78.0,07/10/2023--15:20:48
435,50.0,07/10/2023--15:20:58
436,55.0,07/10/2023--15:21:08
437,78.0,07/10/2023--15:21:18
438,71.0,07/10/2023--15:21:28
439,60.0,07/10/2023--15:21:38
440,95.0,07/10/2023--15:21:48
441,85.0,07/10/2023--15:21:58
442,52.0,07/10/2023--15:22:08
443,59.0,07/10/2023--15:22:18
444,53.0,07/10/2023--15:22:28
445,94.0,07/10/2023--15:22:38
446,57.0,07/10/2023--15:22:48
447,88.0,07/10/2023--15:22:58
448,52.0,07/10/2023--15:23:08
449,77.0,07/10/2023--15:23:18
450,79.0,07/10/2023--15:23:28
451,89.0,07/10/2023--15:23:38
452,66.0,07/10/2023--15:23:48
453,51.0,07/10/2023--15:23:58
454,53.0,07/10/2023--15:24:08
455,51.0,07/10/2023--15:24:18
456,71.0,07/10/2023--15:24:28
457,78.0,07/10/2023--15:24:38
458,55.0,07/10/2023--15:24:48
459,58.0,07/10/2023--15:24:58
460,55.0,07/10/2023--15:25:08
461,79.0,07/10/2023--15:25:19
462,76.0,07/10/2023--15:25:29
463,87.0,07/10/2023--15:25:38
464,84.0,07/10/2023--15:25:49
465,75.0,07/10/2023--15:25:59
466,76.0,07/10/2023--15:26:09
467,80.0,07/10/2023--15:26:19
468,66.0,07/10/2023--15:26:29
469,87.0,07/10/2023--15:26:39
470,66.0,07/10/2023--15:26:49
471,99.0,07/10/2023--15:26:59
472,100.0,07/10/2023--15:27:09
473,54.0,07/10/2023--15:27:19
474,57.0,07/10/2023--15:27:30
475,53.0,07/10/2023--15:27:39
476,65.0,07/10/2023--15:27:49
477,56.0,07/10/2023--15:27:59
478,54.0,07/10/2023--15:28:09
479,90.0,07/10/2023--15:28:19
480,77.0,07/10/2023--15:28:29
481,87.0,07/10/2023--15:28:39
482,97.0,07/10/2023--15:28:49
483,54.0,07/10/2023--15:28:59
484,71.0,07/10/2023--15:29:09
485,84.0,07/10/2023--15:29:19
486,80.0,07/10/2023--15:29:29
487,50.0,07/10/2023--15:29:39
488,89.0,07/10/2023--15:29:49
489,54.0,07/10/2023--15:29:59
490,60.0,07/10/2023--15:30:09
491,88.0,07/10/2023--15:30:19
492,92.0,07/10/2023--15:30:29
493,79.0,07/10/2023--15:30:39
494,52.0,07/10/2023--15:30:49
495,63.0,07/10/2023--15:30:59
496,69.0,07/10/2023--15:31:09
497,72.0,07/10/2023--15:31:19
498,90.0,07/10/2023--15:31:29
499,69.0,07/10/2023--15:31:39
500,82.0,07/10/2023--15:31:49
501,97.0,07/10/2023--15:31:59
502,99.0,07/10/2023--15:32:09
503,50.0,07/10/2023--15:32:19
504,89.0,07/10/2023--15:32:29
505,79.0,07/10/2023--15:32:39
506,53.0,07/10/2023--15:32:49
507,66.0,07/10/2023--15:32:59
508,63.0,07/10/2023--15:33:09
509,89.0,07/10/2023--15:33:19
510,56.0,07/10/2023--15:33:29
511,97.0,07/10/2023--15:33:39
512,51.0,07/10/2023--15:33:49
513,72.0,07/10/2023--15:33:59
514,55.0,07/10/2023--15:34:09
515,58.0,07/10/2023--15:34:19
516,79.0,07/10/2023--15:34:29
517,80.0,07/10/2023--15:34:39
518,74.0,07/10/2023--15:34:49
519,78.0,07/10/2023--15:34:59
520,67.0,07/10/2023--15:35:10
521,54.0,07/10/2023--15:35:20
522,89.0,07/10/2023--15:35:30
523,82.0,07/10/2023--15:35:40
524,81.0,07/10/2023--15:35:50
525,55.0,07/10/2023--15:36:00
526,68.0,07/10/2023--15:36:10
527,90.0,07/10/2023--15:36:20
528,53.0,07/10/2023--15:36:30
529,55.0,07/10/2023--15:36:40
530,57.0,07/10/2023--15:36:50
531,57.0,07/10/2023--15:37:00
532,62.0,07/10/2023--15:37:10
533,73.0,07/10/2023--15:37:20
534,74.0,07/10/2023--15:37:30
535,100.0,07/10/2023--15:37:40
536,71.0,07/10/2023--15:37:51
537,96.0,07/10/2023--15:38:01
538,73.0,07/10/2023--15:38:10
539,79.0,07/10/2023--15:38:20
540,70.0,07/10/2023--15:38:30
541,79.0,07/10/2023--15:38:40
542,98.0,07/10/2023--15:38:50
543,78.0,07/10/2023--15:39:00
544,96.0,07/10/2023--15:39:10
545,78.0,07/10/2023--15:39:20
546,72.0,07/10/2023--15:39:30
547,60.0,07/10/2023--15:39:40
548,62.0,07/10/2023--15:39:50
549,67.0,07/10/2023--15:40:00
550,81.0,07/10/2023--15:40:10
551,64.0,07/10/2023--15:40:20
552,60.0,07/10/2023--15:40:30
553,71.0,07/10/2023--15:40:40
554,73.0,07/10/2023--15:40:50
555,57.0,07/10/2023--15:41:00
556,67.0,07/10/2023--15:41:10
557,82.0,07/10/2023--15:41:20
558,61.0,07/10/2023--15:41:30
559,96.0,07/10/2023--15:41:40
560,88.0,07/10/2023--15:41:50
561,78.0,07/10/2023--15:42:00
562,73.0,07/10/2023--15:42:10
563,93.0,07/10/2023--15:43:55
564,52.0,07/10/2023--15:58:55
565,88.0,07/10/2023--16:13:55
566,51.0,07/10/2023--16:28:55
567,85.0,07/10/2023--16:43:55
568,64.0,07/10/2023--16:58:55
569,86.0,07/10/2023--17:13:55
570,73.0,07/10/2023--17:28:55
571,93.0,07/10/2023--17:43:52
572,65.0,07/10/2023--17:58:52
